month,day,full_time,hour,minute,altitude,azimuth,irradmean,skycover,class,doy
2,20,17.783333,17,47,0.094,73.916,0.0,0.0,Sunset,51
2,21,7.266667,7,15,0.076,-74.429,0.0,0.0,Sunrise,52
2,21,17.800000,17,48,0.150,74.355,0.0,0.0,Sunset,52
2,22,7.250000,7,14,0.170,-74.834,0.0,0.0,Sunrise,53
2,22,17.833333,17,50,0.031,74.971,0.0,0.0,Sunset,53
2,23,7.216667,7,12,0.092,-75.412,0.0,0.0,Sunrise,54
2,23,17.850000,17,51,0.086,75.418,0.0,0.0,Sunset,54
2,24,7.183333,7,10,0.017,-75.992,0.0,0.0,Sunrise,55
2,24,17.866667,17,52,0.141,75.870,0.0,0.0,Sunset,55
2,25,7.166667,7,9,0.121,-76.399,0.0,0.0,Sunrise,56
2,25,17.900000,17,54,0.019,76.499,0.0,0.0,Sunset,56
2,26,7.133333,7,7,0.052,-76.979,0.0,0.0,Sunrise,57
2,26,17.916667,17,55,0.073,76.959,0.0,0.0,Sunset,57
2,27,7.116667,7,6,0.162,-77.387,0.0,0.0,Sunrise,58
2,27,17.933333,17,56,0.126,77.423,0.0,0.0,Sunset,58
2,28,7.083333,7,4,0.099,-77.968,0.0,0.0,Sunrise,59
2,28,17.966667,17,58,0.002,78.063,0.0,0.0,Sunset,59
3,1,7.050000,7,2,0.038,-78.550,0.0,0.0,Sunrise,60
3,1,17.983333,17,59,0.053,78.535,0.0,0.0,Sunset,60
3,2,7.033333,7,1,0.156,-78.959,0.0,0.0,Sunrise,61
3,2,18.000000,18,0,0.105,79.010,0.0,0.0,Sunset,61
3,3,7.000000,6,59,0.100,-79.542,0.0,0.0,Sunrise,62
3,3,18.016667,18,1,0.155,79.488,0.0,0.0,Sunset,62
3,4,6.966667,6,57,0.046,-80.124,0.0,0.0,Sunrise,63
3,4,18.050000,18,3,0.027,80.142,0.0,0.0,Sunset,63
3,5,6.950000,6,56,0.173,-80.534,0.0,0.0,Sunrise,64
3,5,18.066667,18,4,0.077,80.627,0.0,0.0,Sunset,64
3,6,6.916667,6,54,0.123,-81.118,0.0,0.0,Sunrise,65
3,6,18.083333,18,5,0.126,81.115,0.0,0.0,Sunset,65
3,7,6.883333,6,52,0.075,-81.701,0.0,0.0,Sunrise,66
3,7,18.100000,18,6,0.174,81.606,0.0,0.0,Sunset,66
3,8,6.850000,6,50,0.029,-82.285,0.0,0.0,Sunrise,67
3,8,18.133333,18,8,0.043,82.272,0.0,0.0,Sunset,67
3,9,6.833333,6,49,0.165,-82.696,0.0,0.0,Sunrise,68
3,9,18.150000,18,9,0.090,82.768,0.0,0.0,Sunset,68
3,10,6.800000,6,47,0.122,-83.279,0.0,0.0,Sunrise,69
3,10,18.166667,18,10,0.136,83.266,0.0,0.0,Sunset,69
3,11,6.766667,6,45,0.081,-83.863,0.0,0.0,Sunrise,70
3,11,18.200000,18,12,0.002,83.939,0.0,0.0,Sunset,70
3,12,6.733333,6,43,0.042,-84.447,0.0,0.0,Sunrise,71
3,12,18.216667,18,13,0.048,84.442,0.0,0.0,Sunset,71
3,13,6.700000,6,41,0.004,-85.031,0.0,0.0,Sunrise,72
3,13,18.233333,18,14,0.092,84.946,0.0,0.0,Sunset,72
3,14,6.683333,6,40,0.148,-85.442,0.0,0.0,Sunrise,73
3,14,18.250000,18,15,0.137,85.452,0.0,0.0,Sunset,73
3,15,6.650000,6,38,0.112,-86.026,0.0,0.0,Sunrise,74
3,15,18.266667,18,16,0.180,85.960,0.0,0.0,Sunset,74
3,16,6.616667,6,36,0.078,-86.609,0.0,0.0,Sunrise,75
3,16,18.300000,18,18,0.043,86.642,0.0,0.0,Sunset,75
3,17,6.583333,6,34,0.044,-87.193,0.0,0.0,Sunrise,76
3,17,18.316667,18,19,0.086,87.153,0.0,0.0,Sunset,76
3,18,6.550000,6,32,0.012,-87.776,0.0,0.0,Sunrise,77
3,18,18.333333,18,20,0.128,87.665,0.0,0.0,Sunset,77
3,19,6.533333,6,31,0.161,-88.186,0.0,0.0,Sunrise,78
3,19,18.350000,18,21,0.170,88.178,0.0,0.0,Sunset,78
3,20,6.500000,6,29,0.130,-88.769,0.0,0.0,Sunrise,79
3,20,18.383333,18,23,0.030,88.864,0.0,0.0,Sunset,79
3,21,6.466667,6,27,0.099,-89.352,0.0,0.0,Sunrise,80
3,21,18.400000,18,24,0.071,89.379,0.0,0.0,Sunset,80
3,22,6.433333,6,25,0.069,-89.934,0.0,0.0,Sunrise,81
3,22,18.416667,18,25,0.112,89.893,0.0,0.0,Sunset,81
3,23,6.400000,6,23,0.039,-90.516,0.0,0.0,Sunrise,82
3,23,18.433333,18,26,0.152,90.409,0.0,0.0,Sunset,82
3,24,6.366667,6,21,0.010,-91.097,0.0,0.0,Sunrise,83
3,24,18.466667,18,28,0.011,91.097,0.0,0.0,Sunset,83
3,25,6.350000,6,20,0.161,-91.506,0.0,0.0,Sunrise,84
3,25,18.483333,18,29,0.050,91.612,0.0,0.0,Sunset,84
3,26,6.316667,6,18,0.132,-92.087,0.0,0.0,Sunrise,85
3,26,18.500000,18,30,0.090,92.127,0.0,0.0,Sunset,85
3,27,6.283333,6,16,0.102,-92.667,0.0,0.0,Sunrise,86
3,27,18.516667,18,31,0.129,92.642,0.0,0.0,Sunset,86
3,28,6.250000,6,14,0.073,-93.247,0.0,0.0,Sunrise,87
3,28,18.533333,18,32,0.167,93.156,0.0,0.0,Sunset,87
3,29,6.216667,6,12,0.043,-93.826,0.0,0.0,Sunrise,88
3,29,18.566667,18,34,0.025,93.843,0.0,0.0,Sunset,88
3,30,6.183333,6,10,0.013,-94.405,0.0,0.0,Sunrise,89
3,30,18.583333,18,35,0.064,94.356,0.0,0.0,Sunset,89
3,31,6.166667,6,9,0.162,-94.810,0.0,0.0,Sunrise,90
3,31,18.600000,18,36,0.102,94.868,0.0,0.0,Sunset,90
4,1,6.133333,6,7,0.131,-95.388,0.0,0.0,Sunrise,91
4,1,18.616667,18,37,0.140,95.379,0.0,0.0,Sunset,91
4,2,6.100000,6,5,0.098,-95.964,0.0,0.0,Sunrise,92
4,2,18.633333,18,38,0.178,95.888,0.0,0.0,Sunset,92
4,3,6.066667,6,3,0.065,-96.541,0.0,0.0,Sunrise,93
4,3,18.666667,18,40,0.036,96.569,0.0,0.0,Sunset,93
4,4,6.033333,6,1,0.031,-97.116,0.0,0.0,Sunrise,94
4,4,18.683333,18,41,0.073,97.076,0.0,0.0,Sunset,94
4,5,6.016667,6,0,0.176,-97.518,0.0,0.0,Sunrise,95
4,5,18.700000,18,42,0.111,97.581,0.0,0.0,Sunset,95
4,6,5.983333,5,58,0.140,-98.092,0.0,0.0,Sunrise,96
4,6,18.716667,18,43,0.148,98.084,0.0,0.0,Sunset,96
4,7,5.950000,5,56,0.102,-98.665,0.0,0.0,Sunrise,97
4,7,18.750000,18,45,0.006,98.757,0.0,0.0,Sunset,97
4,8,5.916667,5,54,0.064,-99.237,0.0,0.0,Sunrise,98
4,8,18.766667,18,46,0.044,99.256,0.0,0.0,Sunset,98
4,9,5.883333,5,52,0.023,-99.808,0.0,0.0,Sunrise,99
4,9,18.783333,18,47,0.081,99.752,0.0,0.0,Sunset,99
4,10,5.866667,5,51,0.160,-100.206,0.0,0.0,Sunrise,100
4,10,18.800000,18,48,0.118,100.246,0.0,0.0,Sunset,100
4,11,5.833333,5,49,0.117,-100.775,0.0,0.0,Sunrise,101
4,11,18.816667,18,49,0.155,100.738,0.0,0.0,Sunset,101
4,12,5.800000,5,47,0.071,-101.344,0.0,0.0,Sunrise,102
4,12,18.850000,18,51,0.015,101.399,0.0,0.0,Sunset,102
4,13,5.766667,5,45,0.025,-101.911,0.0,0.0,Sunrise,103
4,13,18.866667,18,52,0.052,101.885,0.0,0.0,Sunset,103
4,14,5.750000,5,44,0.153,-102.305,0.0,0.0,Sunrise,104
4,14,18.883333,18,53,0.089,102.367,0.0,0.0,Sunset,104
4,15,5.716667,5,42,0.102,-102.870,0.0,0.0,Sunrise,105
4,15,18.900000,18,54,0.126,102.847,0.0,0.0,Sunset,105
4,16,5.683333,5,40,0.049,-103.434,0.0,0.0,Sunrise,106
4,16,18.916667,18,55,0.162,103.323,0.0,0.0,Sunset,106
4,17,5.666667,5,39,0.170,-103.825,0.0,0.0,Sunrise,107
4,17,18.950000,18,57,0.023,103.969,0.0,0.0,Sunset,107
4,18,5.633333,5,37,0.112,-104.386,0.0,0.0,Sunrise,108
4,18,18.966667,18,58,0.060,104.438,0.0,0.0,Sunset,108
4,19,5.600000,5,35,0.052,-104.947,0.0,0.0,Sunrise,109
4,19,18.983333,18,59,0.096,104.904,0.0,0.0,Sunset,109
4,20,5.583333,5,34,0.165,-105.333,0.0,0.0,Sunrise,110
4,20,19.000000,19,0,0.132,105.366,0.0,0.0,Sunset,110
4,21,5.550000,5,32,0.100,-105.891,0.0,0.0,Sunrise,111
4,21,19.016667,19,1,0.168,105.824,0.0,0.0,Sunset,111
4,22,5.516667,5,30,0.033,-106.448,0.0,0.0,Sunrise,112
4,22,19.050000,19,3,0.030,106.450,0.0,0.0,Sunset,112
4,23,5.500000,5,29,0.136,-106.830,0.0,0.0,Sunrise,113
4,23,19.066667,19,4,0.066,106.900,0.0,0.0,Sunset,113
4,24,5.466667,5,27,0.063,-107.384,0.0,0.0,Sunrise,114
4,24,19.083333,19,5,0.101,107.346,0.0,0.0,Sunset,114
4,25,5.450000,5,26,0.160,-107.763,0.0,0.0,Sunrise,115
4,25,19.100000,19,6,0.136,107.787,0.0,0.0,Sunset,115
4,26,5.416667,5,24,0.081,-108.314,0.0,0.0,Sunrise,116
4,26,19.116667,19,7,0.171,108.224,0.0,0.0,Sunset,116
4,27,5.400000,5,23,0.170,-108.691,0.0,0.0,Sunrise,117
4,27,19.150000,19,9,0.033,108.829,0.0,0.0,Sunset,117
4,28,5.366667,5,21,0.085,-109.238,0.0,0.0,Sunrise,118
4,28,19.166667,19,10,0.067,109.257,0.0,0.0,Sunset,118
4,29,5.350000,5,20,0.168,-109.612,0.0,0.0,Sunrise,119
4,29,19.183333,19,11,0.100,109.680,0.0,0.0,Sunset,119
4,30,5.316667,5,18,0.076,-110.156,0.0,0.0,Sunrise,120
4,30,19.200000,19,12,0.133,110.098,0.0,0.0,Sunset,120
5,1,5.300000,5,17,0.151,-110.526,0.0,0.0,Sunrise,121
5,1,19.216667,19,13,0.165,110.512,0.0,0.0,Sunset,121
5,2,5.266667,5,15,0.053,-111.066,0.0,0.0,Sunrise,122
5,2,19.250000,19,15,0.028,111.093,0.0,0.0,Sunset,122
5,3,5.250000,5,14,0.120,-111.433,0.0,0.0,Sunrise,123
5,3,19.266667,19,16,0.058,111.496,0.0,0.0,Sunset,123
